,algorithm,accuracy
0,Logistic Regression,93.12865497076024
1,Decision Tree,93.12865497076024
2,Random Forest,93.12865497076024
3,SVC,93.12865497076024
4,KNN,93.12865497076024
5,Nave Bayesian,93.12865497076024
